STUDENTID,PARTNER,MOTHER_EDU,FATHER_EDU,#_SIBLINGS,KIDS,MOTHER_JOB,FATHER_JOB
STUDENT1,2,1,2,3,1,2,5
STUDENT2,2,2,3,2,1,2,1
STUDENT3,2,2,2,2,1,2,1
STUDENT4,1,1,2,5,1,2,1
STUDENT5,1,3,3,2,1,2,4
STUDENT6,2,3,3,2,1,2,3
STUDENT7,2,1,3,1,1,2,4
STUDENT8,1,4,3,1,1,4,3
STUDENT9,1,2,4,2,1,2,4
STUDENT10,1,1,2,3,1,2,3
STUDENT11,2,3,4,2,1,3,2
STUDENT12,2,5,5,1,1,3,2
STUDENT13,2,3,5,4,2,2,2
STUDENT14,2,2,2,2,1,2,3
STUDENT15,2,3,1,2,1,4,1
STUDENT16,2,4,4,2,1,3,1
STUDENT17,2,2,2,4,1,2,3
STUDENT18,2,2,2,2,1,2,1
STUDENT19,2,2,2,5,1,2,5
STUDENT20,1,3,3,3,1,2,4
STUDENT21,1,3,3,3,2,2,3
STUDENT22,1,2,2,4,1,2,3
STUDENT23,1,1,1,4,2,2,4
STUDENT24,2,1,4,3,1,2,1
STUDENT25,2,3,1,3,1,,4
STUDENT26,1,1,4,3,1,2,4
STUDENT27,1,4,4,4,1,,4
STUDENT28,2,1,1,4,1,2,3
STUDENT29,1,2,2,4,1,2,1
STUDENT30,2,3,3,2,1,4,1
STUDENT31,1,1,1,5,1,2,4
STUDENT32,2,1,2,4,1,2,3
STUDENT33,2,2,2,2,1,2,1
STUDENT34,1,1,2,5,1,2,3
STUDENT35,1,3,3,3,1,2,4
STUDENT36,2,1,2,5,1,2,3
STUDENT37,1,1,1,2,2,4,3
STUDENT38,1,3,3,1,1,2,3
STUDENT39,2,3,3,1,1,2,4
STUDENT40,1,1,3,1,1,2,4
STUDENT41,2,2,3,1,1,2,5
STUDENT42,2,1,4,2,1,2,2
STUDENT43,2,4,4,2,1,3,1
STUDENT44,1,2,3,3,1,2,1
STUDENT45,1,1,3,2,1,2,5
STUDENT46,1,2,3,5,1,2,4
STUDENT47,1,1,,,1,2,5
STUDENT48,1,4,3,1,1,5,4
STUDENT49,1,3,3,3,1,2,2
STUDENT50,2,2,3,2,1,2,4
STUDENT51,1,1,1,2,,,3
STUDENT52,2,1,2,5,1,2,1
STUDENT53,2,1,3,4,1,2,1
STUDENT54,2,1,1,5,1,2,1
STUDENT55,2,1,4,2,1,4,2
STUDENT56,1,1,1,5,,,1
STUDENT57,2,1,3,5,1,2,4
STUDENT58,2,4,2,3,1,3,3
STUDENT59,1,1,3,5,2,2,1
STUDENT60,1,4,4,3,1,2,3
STUDENT61,2,6,1,3,1,2,3
STUDENT62,2,1,3,4,1,2,3
STUDENT63,2,2,3,2,1,2,4
STUDENT64,1,1,3,3,1,,1
STUDENT65,2,2,2,2,1,2,1
STUDENT66,1,2,4,3,1,2,4
STUDENT67,1,3,2,5,1,,5
STUDENT68,2,3,4,4,2,2,2
STUDENT69,2,2,3,5,3,,5
STUDENT70,1,2,2,2,1,2,3
STUDENT71,1,4,3,1,2,,2
STUDENT72,2,1,3,5,1,2,4
STUDENT73,1,1,1,2,1,2,3
STUDENT74,2,1,3,4,1,2,4
STUDENT75,2,2,2,3,1,2,1
STUDENT76,2,1,5,4,1,2,2
STUDENT77,2,5,4,3,1,,3
STUDENT78,1,6,5,2,1,4,2
STUDENT79,2,1,3,4,1,2,4
STUDENT80,2,1,3,4,1,,4
STUDENT82,2,1,2,4,1,2,3
STUDENT83,1,3,1,3,1,2,3
STUDENT84,2,4,4,2,1,1,2
STUDENT85,1,4,2,5,3,2,1
