STUDENTID,STUDY_HRS,READ_FREQ,READ_FREQ_SCI,ATTEND_DEPT,IMPACT,ATTEND,PREP_STUDY,PREP_EXAM,NOTES,LISTENS,LIKES_DISCUSS,CLASSROOM,CUML_GPA,EXP_GPA,COURSE ID,GRADE
STUDENT1,3,2,2,1,1,1,1,1,3,2,1,2,1,1,1,1
STUDENT2,2,2,2,1,1,1,1,1,3,2,3,2,2,3,1,1
STUDENT3,2,1,2,1,1,1,1,1,2,2,1,1,2,2,1,1
STUDENT4,3,1,2,1,1,1,1,2,3,2,2,1,3,2,1,1
STUDENT5,2,1,1,1,1,1,2,1,2,2,2,1,2,2,1,1
STUDENT6,1,1,2,1,1,1,1,1,1,2,1,,4,4,1,2
STUDENT7,2,2,2,2,1,2,1,1,3,3,3,3,4,4,1,5
STUDENT8,1,2,2,1,1,1,3,1,3,2,2,1,1,1,1,2
STUDENT9,1,2,2,1,1,1,1,1,3,2,2,2,4,3,1,5
STUDENT10,2,2,2,1,1,2,1,1,2,2,2,2,1,2,1,0
STUDENT11,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,2
STUDENT12,3,3,3,1,3,1,3,2,3,1,3,3,4,3,1,0
STUDENT13,3,2,2,1,1,1,1,1,2,2,2,3,4,2,1,0
STUDENT14,1,2,1,1,1,2,1,1,3,2,3,,4,2,1,1
STUDENT15,2,2,2,1,1,1,1,1,2,,2,1,4,4,1,2
STUDENT16,2,2,2,2,3,,1,1,3,2,2,3,2,2,1,2
STUDENT17,2,2,2,1,1,2,1,1,3,2,3,3,4,3,1,1
STUDENT18,2,2,2,2,1,2,1,1,2,2,2,2,2,2,1,2
STUDENT19,5,3,2,2,1,2,1,1,3,1,3,3,3,3,1,2
STUDENT20,4,2,2,1,2,,1,1,3,2,2,3,2,3,1,3
STUDENT21,4,2,,,1,1,1,2,3,1,2,3,4,4,1,1
STUDENT22,3,2,2,1,1,1,1,1,3,1,3,3,3,3,1,1
STUDENT23,3,3,3,,1,1,1,2,3,1,2,3,3,3,1,3
STUDENT24,3,2,3,1,1,2,1,1,3,2,3,3,3,3,1,1
STUDENT25,1,2,2,1,1,1,1,1,2,1,3,2,4,4,1,2
STUDENT26,2,2,2,1,1,1,1,1,2,1,3,2,1,2,1,3
STUDENT27,2,,2,1,1,1,1,1,3,3,3,2,2,1,1,1
STUDENT28,3,2,2,1,1,2,1,1,3,1,2,1,2,1,1,1
STUDENT29,2,2,2,1,1,1,1,1,3,2,3,3,5,4,1,3
STUDENT30,2,2,2,1,1,1,1,1,3,2,2,2,4,3,1,5
STUDENT31,2,2,2,1,1,1,2,1,2,3,3,3,5,4,1,5
STUDENT32,2,2,3,1,1,1,1,1,3,3,2,3,4,3,1,3
STUDENT33,2,2,2,1,1,2,1,1,2,2,2,1,2,3,1,1
STUDENT34,2,1,2,1,1,1,1,1,1,3,2,2,2,3,1,2
STUDENT35,2,1,1,1,1,2,1,1,2,2,3,1,4,1,1,2
STUDENT36,2,2,2,1,1,2,1,1,2,,3,1,1,1,1,1
STUDENT37,1,1,3,1,1,2,2,1,2,1,2,1,4,3,1,2
STUDENT38,2,2,2,1,1,1,1,1,3,2,3,3,5,4,1,1
STUDENT39,3,2,2,1,1,1,2,1,2,2,2,2,4,3,1,2
STUDENT40,1,2,1,1,1,1,1,1,2,2,2,3,2,1,1,1
STUDENT41,1,2,2,1,1,1,1,1,3,1,2,1,2,3,1,1
STUDENT42,3,2,2,1,1,2,1,1,3,2,2,3,4,3,1,1
STUDENT43,2,2,1,1,1,1,1,1,2,1,3,1,2,3,1,1
STUDENT44,2,2,2,1,1,2,1,1,3,1,3,3,3,2,1,4
STUDENT45,2,2,2,1,1,1,2,1,3,2,2,1,4,3,1,1
STUDENT46,3,2,2,1,1,1,1,1,2,2,2,1,4,3,1,3
STUDENT47,2,2,2,1,1,1,1,1,2,2,3,1,4,2,1,5
STUDENT48,2,2,2,1,1,2,1,1,2,1,3,2,5,3,1,3
STUDENT49,1,1,2,1,1,1,1,1,3,2,3,2,2,2,1,1
STUDENT50,2,2,2,1,1,1,2,1,2,2,2,1,3,2,1,2
STUDENT51,2,2,2,1,1,2,1,1,2,2,2,3,3,3,1,1
STUDENT52,1,2,2,1,1,2,1,1,2,3,3,1,3,3,1,4
STUDENT53,3,1,1,1,1,1,1,2,2,2,2,1,4,2,1,1
