id,Internet Type,Network Type,Class Duration,Self Lms,Device,Adaptivity Level
1,Wifi,4G,3月6日,No,Tab,Moderate
2,Mobile Data,4G,1月3日,Yes,Mobile,Moderate
3,Wifi,4G,1月3日,No,Mobile,Moderate
4,Mobile Data,4G,1月3日,No,Mobile,Moderate
5,Mobile Data,3G,0,No,Mobile,Low
6,Mobile Data,3G,1月3日,No,Mobile,Low
7,Wifi,4G,0,No,Mobile,Low
8,Wifi,4G,1月3日,No,Mobile,Moderate
9,Wifi,4G,1月3日,No,Mobile,Low
10,Mobile Data,3G,1月3日,No,Mobile,Moderate
11,Wifi,4G,1月3日,No,Mobile,Low
12,Wifi,4G,1月3日,No,Mobile,Low
13,Mobile Data,3G,1月3日,No,Mobile,Moderate
14,Wifi,4G,1月3日,No,Mobile,Low
15,Mobile Data,3G,1月3日,No,Mobile,Moderate
16,Wifi,4G,1月3日,No,Mobile,Low
17,Mobile Data,4G,0,No,Computer,Low
18,Wifi,4G,1月3日,No,Mobile,Low
19,Wifi,4G,1月3日,No,Mobile,Low
20,Wifi,4G,3月6日,No,Mobile,Moderate
21,Wifi,4G,1月3日,No,Mobile,High
22,Mobile Data,4G,0,No,Mobile,Low
23,Mobile Data,3G,3月6日,Yes,Mobile,Low
24,Mobile Data,3G,1月3日,No,Mobile,Moderate
25,Wifi,4G,3月6日,No,Mobile,Moderate
26,Mobile Data,4G,1月3日,No,Mobile,Moderate
27,Mobile Data,4G,1月3日,No,Mobile,Moderate
28,Wifi,4G,3月6日,No,Computer,Moderate
29,Mobile Data,4G,1月3日,No,Mobile,Moderate
30,Wifi,4G,3月6日,No,Mobile,Moderate
31,Mobile Data,3G,1月3日,No,Mobile,Moderate
32,Mobile Data,4G,1月3日,No,Mobile,Low
33,Mobile Data,4G,1月3日,No,Mobile,Moderate
34,Wifi,4G,1月3日,No,Mobile,Moderate
35,Mobile Data,3G,1月3日,No,Mobile,Low
36,Wifi,3G,3月6日,Yes,Mobile,Moderate
37,Mobile Data,4G,1月3日,No,Mobile,Moderate
38,Mobile Data,3G,1月3日,No,Mobile,High
39,Mobile Data,4G,1月3日,No,Mobile,Low
40,Wifi,3G,1月3日,No,Mobile,Low
41,Wifi,4G,3月6日,Yes,,Moderate
42,Wifi,4G,1月3日,Yes,Mobile,Moderate
43,Mobile Data,3G,0,No,Mobile,Low
44,Mobile Data,4G,1月3日,No,Mobile,Moderate
45,Wifi,GG,3月6日,Yes,Computer,Low
46,Wifi,4G,1月3日,No,Computer,Moderate
47,Mobile Data,4G,1月3日,No,Mobile,Moderate
48,Mobile Data,3G,1月3日,No,Mobile,Moderate
49,Mobile Data,4G,1月3日,No,Mobile,Moderate
50,Wifi,3G,3月6日,Yes,Computer,Low
51,Wifi,4G,1月3日,No,Mobile,Low
52,Mobile Data,4G,1月3日,No,Mobile,Moderate
53,Mobile Data,3G,3月6日,Yes,Mobile,Moderate
54,Mobile Data,4G,1月3日,No,Mobile,Moderate
55,Mobile Data,4G,1月3日,No,Mobile,Low
56,Mobile Data,4G,1月3日,No,Mobile,Moderate
57,Mobile Data,4G,0,No,Mobile,Low
58,Mobile Data,3G,1月3日,No,Mobile,Low
59,Mobile Data,3G,0,No,Mobile,Low
60,Mobile Data,3G,0,No,Mobile,Low
61,Wifi,4G,3月6日,No,Mobile,Moderate
62,Mobile Data,4G,0,No,Mobile,Low
63,Mobile Data,3G,1月3日,Yes,Mobile,Moderate
64,Mobile Data,4G,1月3日,No,Mobile,Moderate
65,Wifi,4G,1月3日,No,Mobile,Low
66,Mobile Data,4G,1月3日,No,Mobile,High
67,Mobile Data,3G,1月3日,No,Mobile,Moderate
68,Mobile Data,3G,0,No,Mobile,Low
69,Wifi,4G,1月3日,No,Mobile,Low
70,Mobile Data,4G,1月3日,No,Mobile,Moderate
71,Mobile Data,3G,1月3日,Yes,Mobile,Low
72,Mobile Data,4G,0,No,Mobile,Low
73,Mobile Data,4G,0,No,Mobile,Low
74,Mobile Data,3G,1月3日,No,Mobile,Low
75,Mobile Data,4G,1月3日,No,Mobile,Moderate
76,Mobile Data,2G,1月3日,No,Mobile,Low
77,Mobile Data,3G,1月3日,Yes,Mobile,Moderate
78,Mobile Data,4G,0,No,Mobile,Low
79,Mobile Data,4G,3月6日,No,Mobile,Moderate
80,Mobile Data,4G,1月3日,No,Mobile,Moderate
81,Mobile Data,3G,1月3日,No,Mobile,Low
82,Mobile Data,4G,3月6日,No,Mobile,Moderate
83,Wifi,4G,1月3日,No,Computer,Moderate
84,Mobile Data,3G,0,No,Mobile,Low
85,Mobile Data,GG,1月3日,No,Mobile,Moderate
86,Mobile Data,3G,1月3日,No,Mobile,Moderate
87,Mobile Data,4G,1月3日,No,Mobile,High
88,Wifi,4G,1月3日,Yes,Mobile,Moderate
89,Wifi,4G,1月3日,No,Mobile,Moderate
90,Mobile Data,4G,0,No,Mobile,Low
91,Mobile Data,4G,1月3日,No,Mobile,Moderate
92,Wifi,4G,3月6日,Yes,Computer,Moderate
93,Wifi,3G,3月6日,Yes,Computer,Moderate
94,Mobile Data,3G,1月3日,Yes,Mobile,Low
95,Mobile Data,4G,1月3日,No,Mobile,Moderate
