id,Gender,Age,Education Level,Institution Type,IT Student,Location,Load-shedding,Financial Condition,Internet Type,Network Type,Class Duration,Self Lms,Device,Adaptivity Level
971,Girl,11る15ら,School,Government,No,Yes,Low,Rich,Wifi,4G,1る3ら,No,Mobile,Moderate
972,Girl,11る15ら,School,Non Government,No,No,High,Mid,Mobile Data,3G,0,No,Mobile,Low
973,Girl,26-30,University,Government,No,Yes,Low,Mid,Wifi,4G,0,No,Mobile,Low
974,Boy,16-20,School,Government,No,Yes,Low,Rich,Mobile Data,4G,1る3ら,No,Mobile,Moderate
975,Boy,21-25,University,Government,No,Yes,Low,Mid,Mobile Data,3G,1る3ら,Yes,Mobile,Low
976,Girl,11る15ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Moderate
977,Boy,16-20,College,Non Government,No,Yes,Low,Mid,Wifi,4G,1る3ら,No,Mobile,Moderate
978,Boy,6る10ら,School,Government,No,Yes,Low,Mid,Mobile Data,4G,0,No,Mobile,Low
979,Boy,6る10ら,School,Government,No,No,High,Mid,Mobile Data,2G,0,No,Mobile,Low
980,Girl,1る5ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Moderate
981,Girl,11る15ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Moderate
982,Girl,1る5ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Moderate
983,Boy,21-25,University,Government,Yes,No,High,Mid,Mobile Data,3G,1る3ら,No,Mobile,Low
984,Boy,16-20,College,Government,No,Yes,Low,Mid,Wifi,3G,1る3ら,Yes,Mobile,Moderate
985,Girl,21-25,College,Government,No,No,High,Mid,Mobile Data,3G,0,No,Mobile,Low
986,Boy,11る15ら,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,3G,1る3ら,No,Mobile,Moderate
987,Boy,11る15ら,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Moderate
988,Boy,11る15ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,High
989,Boy,21-25,University,Government,No,Yes,Low,Mid,Mobile Data,4G,0,No,Mobile,Low
990,Boy,26-30,University,Government,No,No,Low,Poor,Mobile Data,4G,0,No,Mobile,Low
991,Girl,21-25,University,Non Government,No,Yes,High,Poor,Wifi,4G,3る6ら,No,Mobile,Low
992,Boy,11る15ら,School,Non Government,No,Yes,High,Mid,Wifi,4G,1る3ら,No,Computer,Low
993,Girl,16-20,College,Government,No,No,Low,Mid,Mobile Data,4G,0,No,Mobile,Low
994,Boy,16-20,University,Government,No,Yes,Low,Mid,Wifi,4G,3る6ら,Yes,Computer,Low
995,Boy,11る15ら,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1る3ら,No,Mobile,Low
996,Girl,16-20,School,Government,No,No,Low,Rich,Mobile Data,4G,1る3ら,No,Mobile,High
997,Boy,21-25,University,Non Government,No,Yes,Low,Mid,Mobile Data,4G,0,No,Mobile,Low
998,Girl,1る5ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Moderate
999,Girl,11る15ら,School,Government,No,Yes,Low,Rich,Wifi,4G,1る3ら,No,Mobile,Low
1000,Boy,16-20,University,Government,No,No,Low,Poor,Mobile Data,4G,1る3ら,No,Mobile,Moderate
1001,Boy,11る15ら,School,Non Government,No,Yes,High,Poor,Wifi,4G,0,No,Mobile,Low
1002,Girl,16-20,College,Non Government,No,No,High,Mid,Wifi,4G,3る6ら,No,Mobile,Moderate
1003,Boy,21-25,University,Non Government,Yes,Yes,High,Poor,Mobile Data,3G,1る3ら,Yes,Mobile,Moderate
1004,Girl,11る15ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Moderate
1005,Boy,11る15ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Moderate
1006,Boy,11る15ら,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,3G,1る3ら,No,Mobile,Moderate
1007,Girl,21-25,University,Non Government,No,Yes,Low,Rich,Wifi,4G,3る6ら,No,Computer,Moderate
1008,Girl,21-25,University,Non Government,No,Yes,High,Mid,Mobile Data,4G,1る3ら,Yes,Mobile,Moderate
1009,Girl,1る5ら,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,1る3ら,No,Mobile,Moderate
1010,Boy,11る15ら,School,Non Government,No,Yes,High,Poor,Wifi,4G,0,No,Mobile,Low
1011,Boy,21-25,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,3る6ら,Yes,Computer,Moderate
1012,Girl,11る15ら,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,3G,1る3ら,No,Mobile,Moderate
1013,Girl,21-25,University,Government,No,No,Low,Mid,Mobile Data,2G,1る3ら,No,Mobile,Low
1014,Girl,26-30,University,Government,No,Yes,Low,Mid,Wifi,4G,1る3ら,No,Mobile,Low
1015,Girl,16-20,College,Government,No,No,Low,Mid,Mobile Data,4G,0,No,Mobile,Low
1016,Boy,16-20,College,Non Government,No,Yes,Low,Mid,Wifi,4G,1る3ら,No,Mobile,Moderate
1017,Boy,16-20,College,Government,No,No,High,Mid,Mobile Data,3G,1る3ら,No,Mobile,Low
1018,Girl,1る5ら,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1る3ら,No,Mobile,Moderate
1019,Girl,16-20,College,Government,No,No,Low,Mid,Mobile Data,4G,0,No,Mobile,Low
1020,Boy,11る15ら,School,Non Government,No,Yes,Low,Rich,Mobile Data,3G,1る3ら,No,Mobile,Moderate
